method,path,backend_status,body_size,statediff_size,body
PUT,/api/books/20,200,70,1276,"{""title"":""Updated Test Book 1_19"",""author"":""Updated Test Author 1_19""}"
DELETE,/api/books/20,200,0,1223,
POST,/api/books,200,54,673,"{""title"":""Test Book 1_20"",""author"":""Test Author 1_20""}"
GET,/api/books/21,200,0,87,
PUT,/api/books/21,200,70,1237,"{""title"":""Updated Test Book 1_20"",""author"":""Updated Test Author 1_20""}"
DELETE,/api/books/21,200,0,1235,
POST,/api/books,200,54,666,"{""title"":""Test Book 1_21"",""author"":""Test Author 1_21""}"
GET,/api/books/22,200,0,87,
PUT,/api/books/22,200,70,1229,"{""title"":""Updated Test Book 1_21"",""author"":""Updated Test Author 1_21""}"
DELETE,/api/books/22,200,0,783,
POST,/api/books,200,54,673,"{""title"":""Test Book 1_22"",""author"":""Test Author 1_22""}"
GET,/api/books/23,200,0,87,
PUT,/api/books/23,200,70,2104,"{""title"":""Updated Test Book 1_22"",""author"":""Updated Test Author 1_22""}"
DELETE,/api/books/23,200,0,1220,
POST,/api/books,200,54,667,"{""title"":""Test Book 1_23"",""author"":""Test Author 1_23""}"
GET,/api/books/24,200,0,2098,
PUT,/api/books/24,200,70,1258,"{""title"":""Updated Test Book 1_23"",""author"":""Updated Test Author 1_23""}"
DELETE,/api/books/24,200,0,1207,
POST,/api/books,200,54,664,"{""title"":""Test Book 1_24"",""author"":""Test Author 1_24""}"
GET,/api/books/25,200,0,87,
PUT,/api/books/25,200,70,1262,"{""title"":""Updated Test Book 1_24"",""author"":""Updated Test Author 1_24""}"
DELETE,/api/books/25,200,0,1241,
POST,/api/books,200,54,641,"{""title"":""Test Book 1_25"",""author"":""Test Author 1_25""}"
GET,/api/books/26,200,0,87,
PUT,/api/books/26,200,70,1284,"{""title"":""Updated Test Book 1_25"",""author"":""Updated Test Author 1_25""}"
DELETE,/api/books/26,200,0,1223,
POST,/api/books,200,54,678,"{""title"":""Test Book 1_26"",""author"":""Test Author 1_26""}"
GET,/api/books/27,200,0,87,
PUT,/api/books/27,200,70,1246,"{""title"":""Updated Test Book 1_26"",""author"":""Updated Test Author 1_26""}"
DELETE,/api/books/27,200,0,1239,
POST,/api/books,200,54,669,"{""title"":""Test Book 1_27"",""author"":""Test Author 1_27""}"
GET,/api/books/28,200,0,87,
PUT,/api/books/28,200,70,1242,"{""title"":""Updated Test Book 1_27"",""author"":""Updated Test Author 1_27""}"
DELETE,/api/books/28,200,0,1210,
POST,/api/books,200,54,670,"{""title"":""Test Book 1_28"",""author"":""Test Author 1_28""}"
GET,/api/books/29,200,0,87,
PUT,/api/books/29,200,70,1278,"{""title"":""Updated Test Book 1_28"",""author"":""Updated Test Author 1_28""}"
DELETE,/api/books/29,200,0,1215,
POST,/api/books,200,54,674,"{""title"":""Test Book 1_29"",""author"":""Test Author 1_29""}"
GET,/api/books/30,200,0,87,
PUT,/api/books/30,200,70,1220,"{""title"":""Updated Test Book 1_29"",""author"":""Updated Test Author 1_29""}"
