method,path,backend_status,body_size,statediff_size,body
POST,/api/books,200,52,610,"{""title"":""Test Book 1_0"",""author"":""Test Author 1_0""}"
GET,/api/books/1,200,0,12,
PUT,/api/books/1,200,68,270,"{""title"":""Updated Test Book 1_0"",""author"":""Updated Test Author 1_0""}"
DELETE,/api/books/1,200,0,209,
POST,/api/books,200,52,325,"{""title"":""Test Book 1_1"",""author"":""Test Author 1_1""}"
GET,/api/books/2,200,0,12,
PUT,/api/books/2,200,68,268,"{""title"":""Updated Test Book 1_1"",""author"":""Updated Test Author 1_1""}"
DELETE,/api/books/2,200,0,211,
POST,/api/books,200,52,327,"{""title"":""Test Book 1_2"",""author"":""Test Author 1_2""}"
GET,/api/books/3,200,0,12,
PUT,/api/books/3,200,68,291,"{""title"":""Updated Test Book 1_2"",""author"":""Updated Test Author 1_2""}"
DELETE,/api/books/3,200,0,209,
POST,/api/books,200,52,319,"{""title"":""Test Book 1_3"",""author"":""Test Author 1_3""}"
GET,/api/books/4,200,0,12,
PUT,/api/books/4,200,68,274,"{""title"":""Updated Test Book 1_3"",""author"":""Updated Test Author 1_3""}"
DELETE,/api/books/4,200,0,212,
POST,/api/books,200,52,330,"{""title"":""Test Book 1_4"",""author"":""Test Author 1_4""}"
GET,/api/books/5,200,0,12,
PUT,/api/books/5,200,68,274,"{""title"":""Updated Test Book 1_4"",""author"":""Updated Test Author 1_4""}"
DELETE,/api/books/5,200,0,211,
POST,/api/books,200,52,326,"{""title"":""Test Book 1_5"",""author"":""Test Author 1_5""}"
GET,/api/books/6,200,0,12,
PUT,/api/books/6,200,68,272,"{""title"":""Updated Test Book 1_5"",""author"":""Updated Test Author 1_5""}"
DELETE,/api/books/6,200,0,211,
POST,/api/books,200,52,330,"{""title"":""Test Book 1_6"",""author"":""Test Author 1_6""}"
GET,/api/books/7,200,0,12,
PUT,/api/books/7,200,68,272,"{""title"":""Updated Test Book 1_6"",""author"":""Updated Test Author 1_6""}"
DELETE,/api/books/7,200,0,212,
POST,/api/books,200,52,329,"{""title"":""Test Book 1_7"",""author"":""Test Author 1_7""}"
GET,/api/books/8,200,0,12,
PUT,/api/books/8,200,68,273,"{""title"":""Updated Test Book 1_7"",""author"":""Updated Test Author 1_7""}"
DELETE,/api/books/8,200,0,210,
POST,/api/books,200,52,332,"{""title"":""Test Book 1_8"",""author"":""Test Author 1_8""}"
GET,/api/books/9,200,0,12,
PUT,/api/books/9,200,68,271,"{""title"":""Updated Test Book 1_8"",""author"":""Updated Test Author 1_8""}"
DELETE,/api/books/9,200,0,210,
POST,/api/books,200,52,318,"{""title"":""Test Book 1_9"",""author"":""Test Author 1_9""}"
GET,/api/books/10,200,0,12,
PUT,/api/books/10,200,68,276,"{""title"":""Updated Test Book 1_9"",""author"":""Updated Test Author 1_9""}"
DELETE,/api/books/10,200,0,210,
POST,/api/books,200,54,314,"{""title"":""Test Book 1_10"",""author"":""Test Author 1_10""}"
GET,/api/books/11,200,0,12,
PUT,/api/books/11,200,70,270,"{""title"":""Updated Test Book 1_10"",""author"":""Updated Test Author 1_10""}"
DELETE,/api/books/11,200,0,208,
POST,/api/books,200,54,370,"{""title"":""Test Book 1_11"",""author"":""Test Author 1_11""}"
GET,/api/books/12,200,0,12,
