method,path,backend_status,body_size,statediff_size,body
DELETE,/api/books/65,200,0,185,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_65"",""author"":""Test Author 1_65""}"
GET,/api/books/66,200,0,3,
PUT,/api/books/66,200,70,110,"{""title"":""Updated Test Book 1_65"",""author"":""Updated Test Author 1_65""}"
DELETE,/api/books/66,200,0,174,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_66"",""author"":""Test Author 1_66""}"
GET,/api/books/67,200,0,3,
PUT,/api/books/67,200,70,121,"{""title"":""Updated Test Book 1_66"",""author"":""Updated Test Author 1_66""}"
DELETE,/api/books/67,200,0,183,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_67"",""author"":""Test Author 1_67""}"
GET,/api/books/68,200,0,3,
PUT,/api/books/68,200,70,106,"{""title"":""Updated Test Book 1_67"",""author"":""Updated Test Author 1_67""}"
DELETE,/api/books/68,200,0,173,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_68"",""author"":""Test Author 1_68""}"
GET,/api/books/69,200,0,3,
PUT,/api/books/69,200,70,116,"{""title"":""Updated Test Book 1_68"",""author"":""Updated Test Author 1_68""}"
DELETE,/api/books/69,200,0,236,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_69"",""author"":""Test Author 1_69""}"
GET,/api/books/70,200,0,3,
PUT,/api/books/70,200,70,118,"{""title"":""Updated Test Book 1_69"",""author"":""Updated Test Author 1_69""}"
DELETE,/api/books/70,200,0,180,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_70"",""author"":""Test Author 1_70""}"
GET,/api/books/71,200,0,3,
PUT,/api/books/71,200,70,112,"{""title"":""Updated Test Book 1_70"",""author"":""Updated Test Author 1_70""}"
DELETE,/api/books/71,200,0,171,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_71"",""author"":""Test Author 1_71""}"
GET,/api/books/72,200,0,3,
PUT,/api/books/72,200,70,111,"{""title"":""Updated Test Book 1_71"",""author"":""Updated Test Author 1_71""}"
DELETE,/api/books/72,200,0,178,
