method,path,backend_status,body_size,statediff_size,body
POST,/api/books,201,54,4571,"{""title"":""Test Book 1_32"",""author"":""Test Author 1_32""}"
GET,/api/books/6922fb5911741d2b7412665b,200,0,487,
PUT,/api/books/6922fb5911741d2b7412665b,200,70,3,"{""title"":""Updated Test Book 1_32"",""author"":""Updated Test Author 1_32""}"
DELETE,/api/books/6922fb5911741d2b7412665b,200,0,196,
POST,/api/books,201,54,91,"{""title"":""Test Book 1_33"",""author"":""Test Author 1_33""}"
GET,/api/books/6922fb5911741d2b7412665c,200,0,206,
PUT,/api/books/6922fb5911741d2b7412665c,200,70,3,"{""title"":""Updated Test Book 1_33"",""author"":""Updated Test Author 1_33""}"
DELETE,/api/books/6922fb5911741d2b7412665c,200,0,196,
POST,/api/books,201,54,91,"{""title"":""Test Book 1_34"",""author"":""Test Author 1_34""}"
GET,/api/books/6922fb5a11741d2b7412665d,200,0,206,
PUT,/api/books/6922fb5a11741d2b7412665d,200,70,3,"{""title"":""Updated Test Book 1_34"",""author"":""Updated Test Author 1_34""}"
DELETE,/api/books/6922fb5a11741d2b7412665d,200,0,196,
POST,/api/books,201,54,91,"{""title"":""Test Book 1_35"",""author"":""Test Author 1_35""}"
GET,/api/books/6922fb5a11741d2b7412665e,200,0,206,
PUT,/api/books/6922fb5a11741d2b7412665e,200,70,3,"{""title"":""Updated Test Book 1_35"",""author"":""Updated Test Author 1_35""}"
DELETE,/api/books/6922fb5a11741d2b7412665e,200,0,196,
POST,/api/books,201,54,91,"{""title"":""Test Book 1_36"",""author"":""Test Author 1_36""}"
GET,/api/books/6922fb5b11741d2b7412665f,200,0,206,
PUT,/api/books/6922fb5b11741d2b7412665f,200,70,3,"{""title"":""Updated Test Book 1_36"",""author"":""Updated Test Author 1_36""}"
DELETE,/api/books/6922fb5b11741d2b7412665f,200,0,196,
POST,/api/books,201,54,91,"{""title"":""Test Book 1_37"",""author"":""Test Author 1_37""}"
GET,/api/books/6922fb5b11741d2b74126660,200,0,206,
PUT,/api/books/6922fb5b11741d2b74126660,200,70,3,"{""title"":""Updated Test Book 1_37"",""author"":""Updated Test Author 1_37""}"
DELETE,/api/books/6922fb5b11741d2b74126660,200,0,196,
POST,/api/books,201,54,91,"{""title"":""Test Book 1_38"",""author"":""Test Author 1_38""}"
GET,/api/books/6922fb5b11741d2b74126661,200,0,206,
